,法院名称,上诉法院,级别
61,路北区人民法院,唐山市中级人民法院,基层
62,古冶区人民法院,唐山市中级人民法院,基层
63,开平区人民法院,唐山市中级人民法院,基层
64,丰润区人民法院,唐山市中级人民法院,基层
65,丰南区人民法院,唐山市中级人民法院,基层
66,滦县人民法院,唐山市中级人民法院,基层
67,滦南县人民法院,唐山市中级人民法院,基层
68,乐亭县人民法院,唐山市中级人民法院,基层
69,迁安市人民法院,唐山市中级人民法院,基层
70,迁西县人民法院,唐山市中级人民法院,基层
71,遵化市人民法院,唐山市中级人民法院,基层
72,玉田县人民法院,唐山市中级人民法院,基层
73,曹妃甸区人民法院,唐山市中级人民法院,基层
74,高新区人民法院,唐山市中级人民法院,基层
75,海港区人民法院,秦皇岛市中级人民法院,基层
76,山海关区人民法院,秦皇岛市中级人民法院,基层
77,北戴河区人民法院,秦皇岛市中级人民法院,基层
78,昌黎县人民法院,秦皇岛市中级人民法院,基层
79,卢龙县人民法院,秦皇岛市中级人民法院,基层
80,抚宁县人民法院,秦皇岛市中级人民法院,基层
81,青龙县人民法院,秦皇岛市中级人民法院,基层
82,经开区人民法院,秦皇岛市中级人民法院,基层
83,北戴河新区人民法院,秦皇岛市中级人民法院,基层
84,丛台区人民法院,邯郸市中级人民法院,基层
85,复兴区人民法院,邯郸市中级人民法院,基层
86,邯山区人民法院,邯郸市中级人民法院,基层
87,峰峰矿区人民法院,邯郸市中级人民法院,基层
88,武安市人民法院,邯郸市中级人民法院,基层
89,邯郸县人民法院,邯郸市中级人民法院,基层
90,永年县人民法院,邯郸市中级人民法院,基层
91,曲周县人民法院,邯郸市中级人民法院,基层
92,馆陶县人民法院,邯郸市中级人民法院,基层
93,魏县人民法院,邯郸市中级人民法院,基层
94,成安县人民法院,邯郸市中级人民法院,基层
95,大名县人民法院,邯郸市中级人民法院,基层
96,涉县人民法院,邯郸市中级人民法院,基层
97,鸡泽县人民法院,邯郸市中级人民法院,基层
98,邱县人民法院,邯郸市中级人民法院,基层
99,广平县人民法院,邯郸市中级人民法院,基层
100,肥乡县人民法院,邯郸市中级人民法院,基层
101,临漳县人民法院,邯郸市中级人民法院,基层
102,磁县人民法院,邯郸市中级人民法院,基层
103,邯郸经开区人民法院,邯郸市中级人民法院,基层
104,邢台桥东人民法院,邢台市中级人民法院,基层
105,邢台桥西人民法院,邢台市中级人民法院,基层
106,南宫市人民法院,邢台市中级人民法院,基层
107,沙河市人民法院,邢台市中级人民法院,基层
108,邢台县人民法院,邢台市中级人民法院,基层
109,柏乡县人民法院,邢台市中级人民法院,基层
110,任县人民法院,邢台市中级人民法院,基层
111,清河县人民法院,邢台市中级人民法院,基层
112,宁晋县人民法院,邢台市中级人民法院,基层
113,威县人民法院,邢台市中级人民法院,基层
114,隆尧县人民法院,邢台市中级人民法院,基层
115,临城县人民法院,邢台市中级人民法院,基层
116,广宗县人民法院,邢台市中级人民法院,基层
117,临西县人民法院,邢台市中级人民法院,基层
118,内丘县人民法院,邢台市中级人民法院,基层
119,平乡县人民法院,邢台市中级人民法院,基层
120,巨鹿县人民法院,邢台市中级人民法院,基层
121,新河县人民法院,邢台市中级人民法院,基层
122,南和县人民法院,邢台市中级人民法院,基层
123,经开区人民法院,邢台市中级人民法院,基层
124,竞秀区人民法院,保定市中级人民法院,基层
125,莲池区人民法院,保定市中级人民法院,基层
126,北市区人民法院,保定市中级人民法院,基层
127,涿州市人民法院,保定市中级人民法院,基层
128,定州市人民法院,保定市中级人民法院,基层
129,安国市人民法院,保定市中级人民法院,基层
130,高碑店市人民法院,保定市中级人民法院,基层
131,满城区人民法院,保定市中级人民法院,基层
132,清苑区人民法院,保定市中级人民法院,基层
133,涞水县人民法院,保定市中级人民法院,基层
134,阜平县人民法院,保定市中级人民法院,基层
135,徐水区人民法院,保定市中级人民法院,基层
136,定兴县人民法院,保定市中级人民法院,基层
137,唐县人民法院,保定市中级人民法院,基层
138,高阳县人民法院,保定市中级人民法院,基层
139,容城县人民法院,保定市中级人民法院,基层
140,涞源县人民法院,保定市中级人民法院,基层
141,望都县人民法院,保定市中级人民法院,基层
142,安新县人民法院,保定市中级人民法院,基层
143,易县人民法院,保定市中级人民法院,基层
144,曲阳县人民法院,保定市中级人民法院,基层
145,蠡县人民法院,保定市中级人民法院,基层
146,顺平县人民法院,保定市中级人民法院,基层
147,博野县人民法院,保定市中级人民法院,基层
148,雄县人民法院,保定市中级人民法院,基层
149,高新区人民法院,保定市中级人民法院,基层
150,张家口桥西人民法院,张家口市中级人民法院,基层
151,张家口桥东人民法院,张家口市中级人民法院,基层
152,宣化区人民法院,张家口市中级人民法院,基层
153,下花园区人民法院,张家口市中级人民法院,基层
154,宣化县人民法院,张家口市中级人民法院,基层
155,康保县人民法院,张家口市中级人民法院,基层
156,张北县人民法院,张家口市中级人民法院,基层
157,阳原县人民法院,张家口市中级人民法院,基层
158,赤城县人民法院,张家口市中级人民法院,基层
159,沽源县人民法院,张家口市中级人民法院,基层
160,怀安县人民法院,张家口市中级人民法院,基层
161,怀来县人民法院,张家口市中级人民法院,基层
162,崇礼县人民法院,张家口市中级人民法院,基层
163,尚义县人民法院,张家口市中级人民法院,基层
164,蔚县人民法院,张家口市中级人民法院,基层
165,涿鹿县人民法院,张家口市中级人民法院,基层
166,万全县人民法院,张家口市中级人民法院,基层
167,经开区人民法院,张家口市中级人民法院,基层
168,双桥区人民法院,承德市中级人民法院,基层
169,双滦区人民法院,承德市中级人民法院,基层
170,鹰手营子矿区人民法院,承德市中级人民法院,基层
171,承德县人民法院,承德市中级人民法院,基层
172,兴隆县人民法院,承德市中级人民法院,基层
173,隆化县人民法院,承德市中级人民法院,基层
174,平泉县人民法院,承德市中级人民法院,基层
175,滦平县人民法院,承德市中级人民法院,基层
176,丰宁县人民法院,承德市中级人民法院,基层
177,围场县人民法院,承德市中级人民法院,基层
178,宽城县人民法院,承德市中级人民法院,基层
179,运河区人民法院,沧州市中级人民法院,基层
180,沧州新华人民法院,沧州市中级人民法院,基层
181,泊头市人民法院,沧州市中级人民法院,基层
182,任丘市人民法院,沧州市中级人民法院,基层
183,黄骅市人民法院,沧州市中级人民法院,基层
184,河间市人民法院,沧州市中级人民法院,基层
185,沧县人民法院,沧州市中级人民法院,基层
186,青县人民法院,沧州市中级人民法院,基层
187,献县人民法院,沧州市中级人民法院,基层
188,东光县人民法院,沧州市中级人民法院,基层
189,海兴县人民法院,沧州市中级人民法院,基层
190,盐山县人民法院,沧州市中级人民法院,基层
191,肃宁县人民法院,沧州市中级人民法院,基层
192,南皮县人民法院,沧州市中级人民法院,基层
193,吴桥县人民法院,沧州市中级人民法院,基层
194,孟村县人民法院,沧州市中级人民法院,基层
195,广阳区人民法院,廊坊市中级人民法院,基层
196,安次区人民法院,廊坊市中级人民法院,基层
197,霸州市人民法院,廊坊市中级人民法院,基层
198,三河市人民法院,廊坊市中级人民法院,基层
199,固安县人民法院,廊坊市中级人民法院,基层
200,永清县人民法院,廊坊市中级人民法院,基层
201,香河县人民法院,廊坊市中级人民法院,基层
202,大城县人民法院,廊坊市中级人民法院,基层
203,文安县人民法院,廊坊市中级人民法院,基层
204,大厂县人民法院,廊坊市中级人民法院,基层
205,廊坊开发区人民法院,廊坊市中级人民法院,基层
206,桃城区人民法院,衡水市中级人民法院,基层
207,冀州市人民法院,衡水市中级人民法院,基层
208,深州市人民法院,衡水市中级人民法院,基层
209,饶阳县人民法院,衡水市中级人民法院,基层
210,枣强县人民法院,衡水市中级人民法院,基层
211,故城县人民法院,衡水市中级人民法院,基层
212,阜城县人民法院,衡水市中级人民法院,基层
213,安平县人民法院,衡水市中级人民法院,基层
214,武邑县人民法院,衡水市中级人民法院,基层
215,景县人民法院,衡水市中级人民法院,基层
216,武强县人民法院,衡水市中级人民法院,基层
217,杏花岭区人民法院,太原市中级人民法院,基层
218,小店区人民法院,太原市中级人民法院,基层
219,迎泽区人民法院,太原市中级人民法院,基层
220,尖草坪区人民法院,太原市中级人民法院,基层
221,万柏林区人民法院,太原市中级人民法院,基层
222,晋源区人民法院,太原市中级人民法院,基层
223,古交市人民法院,太原市中级人民法院,基层
224,阳曲县人民法院,太原市中级人民法院,基层
225,清徐县人民法院,太原市中级人民法院,基层
226,娄烦县人民法院,太原市中级人民法院,基层
227,平城区人民法院,大同市中级人民法院,基层
228,云冈区人民法院,大同市中级人民法院,基层
229,新荣区人民法院,大同市中级人民法院,基层
230,云州区人民法院,大同市中级人民法院,基层
231,天镇县人民法院,大同市中级人民法院,基层
232,灵丘县人民法院,大同市中级人民法院,基层
233,阳高县人民法院,大同市中级人民法院,基层
234,左云县人民法院,大同市中级人民法院,基层
235,广灵县人民法院,大同市中级人民法院,基层
236,浑源县人民法院,大同市中级人民法院,基层
237,阳泉城区人民法院,阳泉市中级人民法院,基层
238,阳泉矿区人民法院,阳泉市中级人民法院,基层
239,平定县人民法院,阳泉市中级人民法院,基层
240,盂县人民法院,阳泉市中级人民法院,基层
241,阳泉市郊区人民法院,阳泉市中级人民法院,基层
242,潞州区人民法院,长治市中级人民法院,基层
243,长治郊区人民法院,长治市中级人民法院,基层
244,潞城区人民法院,长治市中级人民法院,基层
245,上党区人民法院,长治市中级人民法院,基层
246,长子县人民法院,长治市中级人民法院,基层
247,平顺县人民法院,长治市中级人民法院,基层
248,襄垣县人民法院,长治市中级人民法院,基层
249,沁源县人民法院,长治市中级人民法院,基层
250,屯留区人民法院,长治市中级人民法院,基层
251,黎城县人民法院,长治市中级人民法院,基层
252,武乡县人民法院,长治市中级人民法院,基层
253,沁县人民法院,长治市中级人民法院,基层
254,壶关县人民法院,长治市中级人民法院,基层
255,晋城城区人民法院,晋城市中级人民法院,基层
256,高平市人民法院,晋城市中级人民法院,基层
257,泽州县人民法院,晋城市中级人民法院,基层
258,陵川县人民法院,晋城市中级人民法院,基层
259,阳城县人民法院,晋城市中级人民法院,基层
260,沁水县人民法院,晋城市中级人民法院,基层
261,朔城区人民法院,朔州市中级人民法院,基层
262,平鲁区人民法院,朔州市中级人民法院,基层
263,山阴县人民法院,朔州市中级人民法院,基层
264,右玉县人民法院,朔州市中级人民法院,基层
265,应县人民法院,朔州市中级人民法院,基层
266,怀仁市人民法院,朔州市中级人民法院,基层
267,榆次区人民法院,晋中市中级人民法院,基层
268,介休市人民法院,晋中市中级人民法院,基层
269,昔阳县人民法院,晋中市中级人民法院,基层
270,灵石县人民法院,晋中市中级人民法院,基层
271,祁县人民法院,晋中市中级人民法院,基层
272,左权县人民法院,晋中市中级人民法院,基层
273,寿阳县人民法院,晋中市中级人民法院,基层
274,太谷县人民法院,晋中市中级人民法院,基层
275,和顺县人民法院,晋中市中级人民法院,基层
276,平遥县人民法院,晋中市中级人民法院,基层
277,榆社县人民法院,晋中市中级人民法院,基层
278,盐湖区人民法院,运城市中级人民法院,基层
279,河津市人民法院,运城市中级人民法院,基层
280,永济市人民法院,运城市中级人民法院,基层
281,闻喜县人民法院,运城市中级人民法院,基层
282,新绛县人民法院,运城市中级人民法院,基层
283,平陆县人民法院,运城市中级人民法院,基层
284,垣曲县人民法院,运城市中级人民法院,基层
285,绛县人民法院,运城市中级人民法院,基层
286,稷山县人民法院,运城市中级人民法院,基层
287,芮城县人民法院,运城市中级人民法院,基层
288,夏县人民法院,运城市中级人民法院,基层
289,万荣县人民法院,运城市中级人民法院,基层
290,临猗县人民法院,运城市中级人民法院,基层
291,忻府区人民法院,忻州市中级人民法院,基层
292,原平市人民法院,忻州市中级人民法院,基层
293,代县人民法院,忻州市中级人民法院,基层
294,神池县人民法院,忻州市中级人民法院,基层
295,五寨县人民法院,忻州市中级人民法院,基层
296,五台县人民法院,忻州市中级人民法院,基层
297,偏关县人民法院,忻州市中级人民法院,基层
298,宁武县人民法院,忻州市中级人民法院,基层
299,静乐县人民法院,忻州市中级人民法院,基层
300,繁峙县人民法院,忻州市中级人民法院,基层
301,河曲县人民法院,忻州市中级人民法院,基层
302,保德县人民法院,忻州市中级人民法院,基层
303,定襄县人民法院,忻州市中级人民法院,基层
304,岢岚县人民法院,忻州市中级人民法院,基层
305,尧都区人民法院,临汾市中级人民法院,基层
306,侯马市人民法院,临汾市中级人民法院,基层
307,霍州市人民法院,临汾市中级人民法院,基层
308,汾西县人民法院,临汾市中级人民法院,基层
309,吉县人民法院,临汾市中级人民法院,基层
310,安泽县人民法院,临汾市中级人民法院,基层
311,大宁县人民法院,临汾市中级人民法院,基层
312,浮山县人民法院,临汾市中级人民法院,基层
313,古县人民法院,临汾市中级人民法院,基层
314,隰县人民法院,临汾市中级人民法院,基层
315,襄汾县人民法院,临汾市中级人民法院,基层
316,翼城县人民法院,临汾市中级人民法院,基层
317,永和县人民法院,临汾市中级人民法院,基层
318,乡宁县人民法院,临汾市中级人民法院,基层
319,曲沃县人民法院,临汾市中级人民法院,基层
320,洪洞县人民法院,临汾市中级人民法院,基层
321,蒲县人民法院,临汾市中级人民法院,基层
322,离石区人民法院,吕梁市中级人民法院,基层
323,孝义市人民法院,吕梁市中级人民法院,基层
324,汾阳市人民法院,吕梁市中级人民法院,基层
325,文水县人民法院,吕梁市中级人民法院,基层
326,中阳县人民法院,吕梁市中级人民法院,基层
327,兴县人民法院,吕梁市中级人民法院,基层
328,临县人民法院,吕梁市中级人民法院,基层
329,方山县人民法院,吕梁市中级人民法院,基层
330,柳林县人民法院,吕梁市中级人民法院,基层
331,岚县人民法院,吕梁市中级人民法院,基层
332,交口县人民法院,吕梁市中级人民法院,基层
333,交城县人民法院,吕梁市中级人民法院,基层
334,石楼县人民法院,吕梁市中级人民法院,基层
335,太原铁路运输人民法院,太原铁路中级人民法院,基层
336,大同铁路运输人民法院,太原铁路中级人民法院,基层
337,临汾铁路运输人民法院,太原铁路中级人民法院,基层
338,新城区人民法院,呼和浩特市中级人民法院,基层
339,回民区人民法院,呼和浩特市中级人民法院,基层
340,玉泉区人民法院,呼和浩特市中级人民法院,基层
341,赛罕区人民法院,呼和浩特市中级人民法院,基层
342,土默特左旗人民法院,呼和浩特市中级人民法院,基层
343,托克托县人民法院,呼和浩特市中级人民法院,基层
344,和林格尔县人民法院,呼和浩特市中级人民法院,基层
345,清水河县人民法院,呼和浩特市中级人民法院,基层
346,武川县人民法院,呼和浩特市中级人民法院,基层
347,东河区人民法院,包头市中级人民法院,基层
348,昆都仑区人民法院,包头市中级人民法院,基层
349,青山区人民法院,包头市中级人民法院,基层
350,石拐区人民法院,包头市中级人民法院,基层
351,白云鄂博矿区人民法院,包头市中级人民法院,基层
352,九原区人民法院,包头市中级人民法院,基层
353,土默特右旗人民法院,包头市中级人民法院,基层
354,固阳县人民法院,包头市中级人民法院,基层
355,达尔罕茂明安联合旗人民法院,包头市中级人民法院,基层
356,包头开发区人民法院,包头市中级人民法院,基层
357,海勃湾区人民法院,乌海市中级人民法院,基层
358,海南区人民法院,乌海市中级人民法院,基层
359,乌达区人民法院,乌海市中级人民法院,基层
360,红山区人民法院,赤峰市中级人民法院,基层
361,元宝山区人民法院,赤峰市中级人民法院,基层
362,松山区人民法院,赤峰市中级人民法院,基层
363,阿鲁科尔沁旗人民法院,赤峰市中级人民法院,基层
364,巴林左旗人民法院,赤峰市中级人民法院,基层
365,巴林右旗人民法院,赤峰市中级人民法院,基层
366,林西县人民法院,赤峰市中级人民法院,基层
367,克什克腾旗人民法院,赤峰市中级人民法院,基层
368,翁牛特旗人民法院,赤峰市中级人民法院,基层
369,喀喇沁旗人民法院,赤峰市中级人民法院,基层
370,宁城县人民法院,赤峰市中级人民法院,基层
371,敖汉旗人民法院,赤峰市中级人民法院,基层
372,科尔沁区人民法院,通辽市中级人民法院,基层
373,霍林郭勒市人民法院,通辽市中级人民法院,基层
374,科尔沁左翼中旗人民法院,通辽市中级人民法院,基层
375,科尔沁左翼后旗人民法院,通辽市中级人民法院,基层
376,开鲁县人民法院,通辽市中级人民法院,基层
377,库伦旗人民法院,通辽市中级人民法院,基层
378,奈曼旗人民法院,通辽市中级人民法院,基层
379,扎鲁特旗人民法院,通辽市中级人民法院,基层
380,东胜区人民法院,鄂尔多斯市中级人民法院,基层
381,达拉特旗人民法院,鄂尔多斯市中级人民法院,基层
382,准格尔旗人民法院,鄂尔多斯市中级人民法院,基层
383,鄂托克前旗人民法院,鄂尔多斯市中级人民法院,基层
384,鄂托克旗人民法院,鄂尔多斯市中级人民法院,基层
385,杭锦旗人民法院,鄂尔多斯市中级人民法院,基层
386,乌审旗人民法院,鄂尔多斯市中级人民法院,基层
387,伊金霍洛旗人民法院,鄂尔多斯市中级人民法院,基层
388,康巴什区人民法院,鄂尔多斯市中级人民法院,基层
389,海拉尔区人民法院,呼伦贝尔市中级人民法院,基层
390,满洲里市人民法院,呼伦贝尔市中级人民法院,基层
391,牙克石市人民法院,呼伦贝尔市中级人民法院,基层
392,扎兰屯市人民法院,呼伦贝尔市中级人民法院,基层
393,额尔古纳市人民法院,呼伦贝尔市中级人民法院,基层
394,根河市人民法院,呼伦贝尔市中级人民法院,基层
395,莫力达瓦自治旗人民法院,呼伦贝尔市中级人民法院,基层
396,鄂温克族自治旗人民法院,呼伦贝尔市中级人民法院,基层
397,陈巴尔虎旗人民法院,呼伦贝尔市中级人民法院,基层
398,新巴尔虎左旗人民法院,呼伦贝尔市中级人民法院,基层
399,新巴尔虎右旗人民法院,呼伦贝尔市中级人民法院,基层
400,阿荣旗人民法院,呼伦贝尔市中级人民法院,基层
401,鄂伦春旗人民法院,呼伦贝尔市中级人民法院,基层
402,扎赉诺尔区人民法院,呼伦贝尔市中级人民法院,基层
403,临河区人民法院,巴彦淖尔市中级人民法院,基层
404,五原县人民法院,巴彦淖尔市中级人民法院,基层
405,磴口县人民法院,巴彦淖尔市中级人民法院,基层
406,乌拉特前旗人民法院,巴彦淖尔市中级人民法院,基层
407,乌拉特中旗人民法院,巴彦淖尔市中级人民法院,基层
408,乌拉特后旗人民法院,巴彦淖尔市中级人民法院,基层
409,杭锦后旗人民法院,巴彦淖尔市中级人民法院,基层
410,集宁区人民法院,乌兰察布市中级人民法院,基层
411,丰镇市人民法院,乌兰察布市中级人民法院,基层
412,卓资县人民法院,乌兰察布市中级人民法院,基层
413,化德县人民法院,乌兰察布市中级人民法院,基层
414,商都县人民法院,乌兰察布市中级人民法院,基层
415,兴和县人民法院,乌兰察布市中级人民法院,基层
416,凉城县人民法院,乌兰察布市中级人民法院,基层
417,察哈尔右翼前旗人民法院,乌兰察布市中级人民法院,基层
418,察哈尔右翼中旗人民法院,乌兰察布市中级人民法院,基层
419,察哈尔右翼后旗人民法院,乌兰察布市中级人民法院,基层
420,四子王旗人民法院,乌兰察布市中级人民法院,基层
421,二连浩特市人民法院,锡林郭勒盟中级人民法院,基层
422,锡林浩特市人民法院,锡林郭勒盟中级人民法院,基层
423,阿巴嘎旗人民法院,锡林郭勒盟中级人民法院,基层
424,苏尼特左旗人民法院,锡林郭勒盟中级人民法院,基层
425,苏尼特右旗人民法院,锡林郭勒盟中级人民法院,基层
426,东乌珠穆沁旗人民法院,锡林郭勒盟中级人民法院,基层
427,西乌珠穆沁旗人民法院,锡林郭勒盟中级人民法院,基层
428,太仆寺旗人民法院,锡林郭勒盟中级人民法院,基层
429,镶黄旗人民法院,锡林郭勒盟中级人民法院,基层
430,正镶白旗人民法院,锡林郭勒盟中级人民法院,基层
431,正蓝旗人民法院,锡林郭勒盟中级人民法院,基层
432,多伦县人民法院,锡林郭勒盟中级人民法院,基层
433,乌拉盖管理区人民法院,锡林郭勒盟中级人民法院,基层
434,乌兰浩特市人民法院,兴安盟中级人民法院,基层
435,阿尔山市人民法院,兴安盟中级人民法院,基层
436,科尔沁右翼前旗人民法院,兴安盟中级人民法院,基层
437,科尔沁右翼中旗人民法院,兴安盟中级人民法院,基层
438,扎赉特旗人民法院,兴安盟中级人民法院,基层
439,突泉县人民法院,兴安盟中级人民法院,基层
440,阿拉善左旗人民法院,阿拉善盟中级人民法院,基层
441,阿拉善右旗人民法院,阿拉善盟中级人民法院,基层
442,额济纳旗人民法院,阿拉善盟中级人民法院,基层
443,包头铁路运输人民法院,呼和浩特铁路中级人民法院,基层
444,呼和浩特铁路人民法院,呼和浩特铁路中级人民法院,基层
445,通辽铁路运输人民法院,呼和浩特铁路中级人民法院,基层
446,海拉尔铁路运输人民法院,呼和浩特铁路中级人民法院,基层
447,和平区人民法院,沈阳市中级人民法院,基层
448,沈河区人民法院,沈阳市中级人民法院,基层
449,大东区人民法院,沈阳市中级人民法院,基层
450,皇姑区人民法院,沈阳市中级人民法院,基层
451,铁西区人民法院,沈阳市中级人民法院,基层
452,苏家屯区人民法院,沈阳市中级人民法院,基层
453,浑南区人民法院,沈阳市中级人民法院,基层
454,沈北新区人民法院,沈阳市中级人民法院,基层
455,于洪区人民法院,沈阳市中级人民法院,基层
456,新民市人民法院,沈阳市中级人民法院,基层
457,辽中区人民法院,沈阳市中级人民法院,基层
458,康平县人民法院,沈阳市中级人民法院,基层
459,法库县人民法院,沈阳市中级人民法院,基层
460,高新技术产业开发区人民法院,沈阳市中级人民法院,基层
461,经济技术开发区人民法院,沈阳市中级人民法院,基层
462,中山区人民法院,大连市中级人民法院,基层
463,西岗区人民法院,大连市中级人民法院,基层
464,沙河口区人民法院,大连市中级人民法院,基层
465,甘井子区人民法院,大连市中级人民法院,基层
466,旅顺口区人民法院,大连市中级人民法院,基层
467,金州区人民法院,大连市中级人民法院,基层
468,瓦房店市人民法院,大连市中级人民法院,基层
469,普兰店市人民法院,大连市中级人民法院,基层
470,庄河市人民法院,大连市中级人民法院,基层
471,长海县人民法院,大连市中级人民法院,基层
472,大连经开区人民法院,大连市中级人民法院,基层
473,大连长兴岛经开区人民法院,大连市中级人民法院,基层
474,大连高新区人民法院,大连市中级人民法院,基层
475,铁东区人民法院,鞍山市中级人民法院,基层
476,鞍山铁西区人民法院,鞍山市中级人民法院,基层
477,立山区人民法院,鞍山市中级人民法院,基层
478,千山区人民法院,鞍山市中级人民法院,基层
479,海城市人民法院,鞍山市中级人民法院,基层
480,台安县人民法院,鞍山市中级人民法院,基层
481,岫岩县人民法院,鞍山市中级人民法院,基层
482,新抚区人民法院,抚顺市中级人民法院,基层
483,东洲区人民法院,抚顺市中级人民法院,基层
484,望花区人民法院,抚顺市中级人民法院,基层
485,顺城区人民法院,抚顺市中级人民法院,基层
486,抚顺县人民法院,抚顺市中级人民法院,基层
487,清原县人民法院,抚顺市中级人民法院,基层
488,新宾县人民法院,抚顺市中级人民法院,基层
489,平山区人民法院,本溪市中级人民法院,基层
490,溪湖区人民法院,本溪市中级人民法院,基层
491,明山区人民法院,本溪市中级人民法院,基层
492,南芬区人民法院,本溪市中级人民法院,基层
493,本溪县人民法院,本溪市中级人民法院,基层
494,桓仁县人民法院,本溪市中级人民法院,基层
495,元宝区人民法院,丹东市中级人民法院,基层
496,振兴区人民法院,丹东市中级人民法院,基层
497,振安区人民法院,丹东市中级人民法院,基层
498,东港市人民法院,丹东市中级人民法院,基层
499,凤城市人民法院,丹东市中级人民法院,基层
500,宽甸县人民法院,丹东市中级人民法院,基层
501,古塔区人民法院,锦州市中级人民法院,基层
502,凌河区人民法院,锦州市中级人民法院,基层
503,太和区人民法院,锦州市中级人民法院,基层
504,凌海市人民法院,锦州市中级人民法院,基层
505,北镇市人民法院,锦州市中级人民法院,基层
506,黑山县人民法院,锦州市中级人民法院,基层
507,义县人民法院,锦州市中级人民法院,基层
508,站前区人民法院,营口市中级人民法院,基层
509,西市区人民法院,营口市中级人民法院,基层
510,鲅鱼圈区人民法院,营口市中级人民法院,基层
511,老边区人民法院,营口市中级人民法院,基层
512,盖州市人民法院,营口市中级人民法院,基层
513,大石桥市人民法院,营口市中级人民法院,基层
514,海州区人民法院,阜新市中级人民法院,基层
515,新邱区人民法院,阜新市中级人民法院,基层
516,太平区人民法院,阜新市中级人民法院,基层
517,清河门区人民法院,阜新市中级人民法院,基层
518,细河区人民法院,阜新市中级人民法院,基层
519,阜新县人民法院,阜新市中级人民法院,基层
520,彰武县人民法院,阜新市中级人民法院,基层
521,白塔区人民法院,辽阳市中级人民法院,基层
522,文圣区人民法院,辽阳市中级人民法院,基层
523,宏伟区人民法院,辽阳市中级人民法院,基层
524,弓长岭区人民法院,辽阳市中级人民法院,基层
525,太子河区人民法院,辽阳市中级人民法院,基层
526,灯塔市人民法院,辽阳市中级人民法院,基层
527,辽阳县人民法院,辽阳市中级人民法院,基层
528,双台子区人民法院,盘锦市中级人民法院,基层
529,兴隆台区人民法院,盘锦市中级人民法院,基层
530,大洼区人民法院,盘锦市中级人民法院,基层
531,盘山县人民法院,盘锦市中级人民法院,基层
532,银州区人民法院,铁岭市中级人民法院,基层
533,清河区人民法院,铁岭市中级人民法院,基层
